필드명,설명,코드값
QOQ_R3M_ITRT_ENT_RADIO_CS,직전분기대비_엔터_라디오_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_ENT_PIC_CS,직전분기대비_엔터_사진_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_ENT_WEBTOON_CS,직전분기대비_엔터_웹툰/애니_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_ENT_MUSIC_CS,직전분기대비_엔터_음악_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_INFO_NEWS_CS,직전분기대비_정보_뉴스_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_INFO_BOOK_CS,직전분기대비_정보_도서/잡지_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_INFO_BLOG_CS,직전분기대비_정보_블로그_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_INFO_PORTAL_CS,직전분기대비_정보_포탈_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_COMM_SNS_CS,직전분기대비_커뮤_SNS_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_COMM_VOIP_CS,직전분기대비_커뮤_VoIP_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_COMM_DATE_CS,직전분기대비_커뮤_데이트_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_COMM_MESSENGER_CS,직전분기대비_커뮤_메신저_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_OWN_HOUS_CNT_CHYN,전년동기대비_주택보유건수_변화여부,"0 : 부
1 : 여"
YOY_OWN_LIV_YN_CHYN,전년동기대비_자가거주_변화여부,"0 : 부
1 : 여"
YOY_FAM_OWN_HOUS_CNT_CHYN,전년동기대비_주택보유건수_가구기준_변화여부,"0 : 부
1 : 여"
