No,필드명,설명,코드여부,타입
303,R12M_DEP_AMT,최근12개월_백화점_이용금액,N,Int
304,R12M_MART_AMT,최근12개월_대형할인점_이용금액,N,Int
305,R12M_SSM_AMT,최근12개월_소형유통점_이용금액,N,Int
306,R12M_CLOTHES_AMT,최근12개월_의류/잡화_이용금액,N,Int
307,R12M_CUL_AMT,최근12개월_스포츠/문화/레저_이용금액,N,Int
308,R12M_ACCO_AMT,최근12개월_숙박_이용금액,N,Int
309,R12M_TRAVEL_AMT,최근12개월_여행_이용금액,N,Int
310,R12M_TRANS_AMT,최근12개월_교통_이용금액,N,Int
311,R12M_BEAUTY_AMT,최근12개월_미용_이용금액,N,Int
312,R12M_HOUSEHOLD_AMT,최근12개월_가정생활/서비스_이용금액,N,Int
313,R12M_EDU_AMT,최근12개월_교육/학원_이용금액,N,Int
314,R12M_MED_AMT,최근12개월_의료_이용금액,N,Int
315,R12M_FURN_AMT,최근12개월_가전/가구_이용금액,N,Int
316,R12M_CAR_AMT,최근12개월_자동차판매_이용금액,N,Int
317,R12M_CAR_SERVICE_AMT,최근12개월_자동차서비스/용품_이용금액,N,Int
318,R12M_OIL_AMT,최근12개월_주유_이용금액,N,Int
319,R12M_E_COMM_AMT,최근12개월_전자상거래_이용금액,N,Int
320,R12M_DLV_AMT,최근12개월_배달앱_이용금액,N,Int
321,R12M_HOTEL_AMT,최근12개월_특급호텔_이용금액,N,Int
322,R12M_JJ_AMT,최근12개월_제주도지역_이용금액,N,Int
323,R12M_TRAVEL_OS_AMT,최근12개월_해외여행_이용금액,N,Int
324,R12M_STARBUCKS_AMT,최근12개월_스타벅스_이용금액,N,Int
325,R12M_E_CHARGE_AMT,최근12개월_전기차충전_이용금액,N,Int
326,R12M_CONV_AMT,최근12개월_편의점_이용금액,N,Int
327,R12M_M_DEP_AMT,최근12개월_마케팅_백화점_이용금액,N,Int
328,R12M_M_MART_AMT,최근12개월_마케팅_대형마트_이용금액,N,Int
329,R12M_M_S_MART_AMT,최근12개월_마케팅_슈퍼마켓_이용금액,N,Int
330,R12M_M_OUTLET_AMT,최근12개월_마케팅_아울렛_이용금액,N,Int
331,R12M_M_DF_AMT,최근12개월_마케팅_면세점_이용금액,N,Int
332,R12M_M_CONV_AMT,최근12개월_마케팅_편의점_이용금액,N,Int
333,R12M_M_H_SHOP_AMT,최근12개월_마케팅_홈쇼핑_이용금액,N,Int
